Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
6.803e+16 6.149e+13 3.499e+31 3.437e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.666e+11 1.462e+16 3.759e+31 1.356e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.062e+13 3.505e+12 3.735e+31 3.411e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.286e+17 2.352e+11 3.990e+31 3.781e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.033e+11 3.284e+15 1.943e+31 1.651e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.687e+15 1.133e+16 3.245e+31 2.660e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.967e+15 1.335e+16 3.765e+31 3.691e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.097e+15 2.888e+13 2.911e+31 1.476e+31 1.998e+14 1.268e+13 1 type_I type_I 1
2.733e+14 9.853e+16 3.763e+31 1.980e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.510e+16 7.695e+16 1.997e+31 1.434e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.965e+16 6.175e+11 3.614e+31 1.254e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.059e+17 3.744e+11 3.673e+31 1.441e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.542e+14 2.310e+15 2.749e+31 1.738e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.069e+12 7.833e+13 3.767e+31 1.170e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.991e+13 6.081e+13 3.781e+31 2.979e+31 1.877e+14 6.447e+11 1 type_I type_I 1
1.869e+15 9.179e+16 1.628e+31 1.555e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.526e+13 3.685e+15 1.909e+31 1.415e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.091e+13 2.144e+12 3.681e+31 1.835e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.286e+16 5.683e+13 4.128e+31 2.117e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.744e+13 1.643e+17 1.945e+31 1.454e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.711e+12 1.377e+13 2.909e+31 2.132e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.274e+16 2.548e+13 2.974e+31 2.179e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.790e+14 4.106e+15 1.985e+31 1.870e+31 0.000e+00 0.000e+00 0 type_I type_I 1
